"id" "age" "emp" "cmean_emp" "emp_prev" "ln_roa" "exit_term" "assp_soc_prev" "assp_soc" "assp_hist"
"805" 166 2 1 1 1 0.0316299349069595 0 -640096.3125 -556788.125 -3876
"807" 167 2 4 5 5 0 0 -861638.5 -1105845 333996
"809" 168 6 3 1 1 0 0 -709559.65625 50710.625 -640049.65625
"819" 169 14 5 3 3 0 0 -1945013 -1137991.5 -889935.5
"823" 170 2 1 1 1 0.0193296279758215 0 -213412.25 -343510.625 236406
"824" 170 3 1 1 1 0.0174621473997831 0 81043.25 -213412.25 486406
"825" 170 4 2 1 1 0.00438184756785631 0 -1112244.75 81043.25 -1378516.5
"827" 171 2 55 47 47 0 0 -123003 -228812.375 -79419.125
"830" 172 2 6 7 7 0.0561168417334557 0 -43852.375 -418279.5 417735.875
"832" 173 10 3 4 4 0 0 -1945013 -1945013 297541.75
"833" 173 11 3 3.5 3 0 0 -1945013 -1945013 18829
"834" 173 12 3 3.33333333333333 3 0.031849842518568 0 -1945013 -1945013 9973.34375
"835" 173 13 3 3.25 3 0.19894552230835 0 -1945013 -1945013 29484.3125
"836" 173 14 4 3.2 3 0.140991359949112 0 -1945013 -1945013 -85381.65625
"842" 175 13 21 21 21 0.0110002942383289 0 6092196 -1806171 2851705
"843" 175 14 21 21 21 0.115408718585968 0 6092196 6092196 184398
"845" 176 14 2 4 4 0.0188405551016331 0 -500716.375 -638970.875 181563.25
"847" 177 3 1 1 1 0 1 -470702.25 -655248.25 548820
"853" 178 6 163 116 116 0.0158023200929165 0 -39652.875 -338063.8125 350087.8125
"854" 178 7 211 139.5 163 0.0480132400989532 0 22758 -39652.875 144113.625
"860" 180 10 25 21 21 0.0112947952002287 0 -303669.625 -221404.5625 118008.25
"861" 180 11 30 23 25 0.303209394216537 0 -428244.9375 -303669.625 -4297.6875
"862" 180 12 32 25.3333333333333 30 0.00718815065920353 0 -403014.25 -428244.9375 -39742.4375
"879" 183 12 51 31 31 0 0 -776239.40625 -357009.25 -375921.40625
"886" 186 13 5 6 6 9.11650422494859e-05 0 -849945.9375 -531104.9375 -126890.5
"887" 186 14 6 5.5 5 0.000474320637295023 0 -782920.25 -849945.9375 -118202.8125
"889" 187 3 6 7 7 0.185067847371101 0 847019.125 582459.5 318390
"890" 187 4 5 6.5 6 0.20632004737854 0 6025742.375 847019.125 2851705
"891" 187 5 4 6 5 0.0560228936374187 0 6092196 6025742.375 2851705
"901" 188 9 4 4 4 0.10330481082201 0 851285.8125 1106043.75 -218745
"904" 190 6 1 1 1 0.0681033730506897 0 832523.875 297184.5 530483
"905" 190 7 1 1 1 0.193259075284004 0 1331590.6875 832523.875 578499
"906" 190 8 2 1 1 0.170991525053978 0 162979.875 1331590.6875 -968337.5
"907" 190 9 3 1.25 2 0.195080563426018 0 -552622.375 162979.875 -333118.5
"908" 190 10 2 1.6 3 0.122338943183422 0 -179113.125 -552622.375 351505
"910" 191 8 23 37 37 0 0 -1945013 -1945013 0
"911" 191 9 22 30 23 0.0196975879371166 0 -1945013 -1945013 0
